title,url,topic_idx,news_date
AI 반도체 ETF '후끈'…동시 상장 5일만에 1500억 몰렸다,https://n.news.naver.com/mnews/article/011/0004267396?sid=101,0,20231128
[블록체인 칼럼]금융샌드박스와 네거티브 규제,https://n.news.naver.com/mnews/article/030/0003160904?sid=101,0,20231128
"'보안체계 강화' 센트비, 글로벌 표준 정보보호∙개인정보 경영시스템 인증 동시 취득",https://n.news.naver.com/mnews/article/014/0005107040?sid=101,0,20231128
"사슬 블록체인 컨퍼런스 성료, 3세대 블록체인 기술과 미래 전망 논의",https://n.news.naver.com/mnews/article/029/0002839791?sid=101,0,20231128
"비투엔, 실버케어에서 '응급 케어'로 AI 의료 서비스 사업 확장",https://n.news.naver.com/mnews/article/003/0012235123?sid=101,0,20231128
[단신]미래에셋 ‘AI 반도체 ETF’ 개인순매수 100억 넘어 外,https://n.news.naver.com/mnews/article/020/0003533789?sid=101,0,20231128
"[단독]설명은 AI, 답변은 대본대로…'홍콩 ELS' 은행들 자신하던 녹음파일 들어보니",https://n.news.naver.com/mnews/article/057/0001783675?sid=101,0,20231128
"SKT, AI 안부 확인 서비스로 취약계층 돌봤다",https://n.news.naver.com/mnews/article/014/0005107342?sid=101,0,20231128
"LG CNS, 글로벌 클라우드 역량 입증",https://n.news.naver.com/mnews/article/014/0005107324?sid=101,0,20231128
"""레고처럼 한컴 AI기술 모듈화... 산업 전반 핵심부품 역할할 것""",https://n.news.naver.com/mnews/article/014/0005107323?sid=101,0,20231128
전세계 개발자 수만명 집결…'서버리스 클라우드' 혁신 눈앞 [AWS 리인벤트 2023],https://n.news.naver.com/mnews/article/014/0005107298?sid=101,0,20231128
"삼성SDS·전기 'AI 신바람'…기관·외국인, 쌍끌이 매수",https://n.news.naver.com/mnews/article/015/0004919343?sid=101,0,20231128
"""AI 하드웨어·바이오 기술수출株에 주목""",https://n.news.naver.com/mnews/article/015/0004919334?sid=101,0,20231128
"""서버 대신 온디바이스""…AI 새 테마 뜬다",https://n.news.naver.com/mnews/article/009/0005221992?sid=101,0,20231128
네이버 '다크패턴 체크리스트' 나온다,https://n.news.naver.com/mnews/article/648/0000021369?sid=101,0,20231128
김기철 드림인사이트 대표 “IPO로 AI 기반 디지털 광고 솔루션 개발 가속도” [IPO 인터뷰],https://n.news.naver.com/mnews/article/016/0002231222?sid=101,0,20231128
"""삼성그룹 AI 수혜주가 뜬다""…외국인·기관 '쌍끌이 매수'",https://n.news.naver.com/mnews/article/015/0004919271?sid=101,0,20231128
"굿센, 글로벌 인텔리전트 SaaS 기업 도약 ‘시동’",https://n.news.naver.com/mnews/article/277/0005347203?sid=101,0,20231128
"한국 테크 투자에 94.1% 수익?…""수출경쟁력 있는 AI 반도체, 바이오테크 분야 유망해""",https://n.news.naver.com/mnews/article/015/0004919235?sid=101,0,20231128
"'AI 승부수'…한글과컴퓨터 ""5년내 글로벌 빅테크 목표""",https://n.news.naver.com/mnews/article/648/0000021356?sid=101,0,20231128
"SCI평가정보, 다오솔루션과 개인 데이터 서비스 기술 개발 및 사업화 MOU 체결",https://n.news.naver.com/mnews/article/011/0004267267?sid=101,0,20231128
빌 게이츠 “AI 덕분에 주 3일 근무 가능하다”,https://n.news.naver.com/mnews/article/421/0007202442?sid=101,0,20231128
"한국포스증권, 챗GPT 활용 'AI 투자가이드 서비스' 제공",https://n.news.naver.com/mnews/article/018/0005628048?sid=101,0,20231128
"한국포스증권, 챗GPT 활용 'AI 투자가이드 서비스' 제공…금융권 최초",https://n.news.naver.com/mnews/article/030/0003160739?sid=101,0,20231128
"[특징주] 플리토, 삼성 전 제품군에 AI 탑재 '실시간 통역' 기능 탑재… 언어데이터 공급 부각",https://n.news.naver.com/mnews/article/417/0000965142?sid=101,0,20231128
"[종목이슈] 네패스, 갤럭시S24 온디바이스AI 기대↑",https://n.news.naver.com/mnews/article/031/0000791714?sid=101,0,20231128
"DB금투 “LG-크래프트 AI ETF, 액티브 투자의 新동력”",https://n.news.naver.com/mnews/article/009/0005221599?sid=101,0,20231128
"디지털존, NIA '공공부문 이용 SaaS 개발·검증' 사업 통해 전자서식 서비스(SaaS) ‘브리트’ 개발",https://n.news.naver.com/mnews/article/011/0004267184?sid=101,0,20231128
